model,loss,best_val_loss,best_epoch,gpu_peak_usage(MB),save_path
SimpleDDPM,Charbonnier+Gradient,0.14729689061641693,45,427.1455078125,./results/gridsearch16/checkpoints/SimpleDDPM_CharbonnierandGradientfp16.pth
SimpleDDPM,Charbonnier+Gradient+Tv,0.357980877161026,74,322.01416015625,./results/gridsearch16/checkpoints/SimpleDDPM_CharbonnierandGradientandTvfp16.pth
SkipConnectionAutoencoder,MSE,3.813373405137099e-05,99,551.23681640625,./results/gridsearch16/checkpoints/SkipConnectionAutoencoder_MSEfp16.pth
SkipConnectionAutoencoder,MSE+Gradient,0.0005526267923414707,99,552.97900390625,./results/gridsearch16/checkpoints/SkipConnectionAutoencoder_MSEandGradientfp16.pth
SkipConnectionAutoencoder,MSE+MS-SSIM,0.002053485601209104,74,439.4482421875,./results/gridsearch16/checkpoints/SkipConnectionAutoencoder_MSEandMS-SSIMfp16.pth
SkipConnectionAutoencoder,Charbonnier+MS-SSIM,0.019560295157134533,14,378.9697265625,./results/gridsearch16/checkpoints/SkipConnectionAutoencoder_CharbonnierandMS-SSIMfp16.pth
SkipConnectionAutoencoder,Charbonnier+Gradient,0.0032700769370421767,100,390.44775390625,./results/gridsearch16/checkpoints/SkipConnectionAutoencoder_CharbonnierandGradientfp16.pth
TransformerAnomalyDetector,MSE,0.2608717530965805,5,3371.9052734375,./results/gridsearch16/checkpoints/TransformerAnomalyDetector_MSEfp16.pth
TransformerAnomalyDetector,MSE+Gradient,0.28662174940109253,8,3308.1298828125,./results/gridsearch16/checkpoints/TransformerAnomalyDetector_MSEandGradientfp16.pth
TransformerAnomalyDetector,MSE+MS-SSIM,0.36210788786411285,53,3336.4404296875,./results/gridsearch16/checkpoints/TransformerAnomalyDetector_MSEandMS-SSIMfp16.pth
TransformerAnomalyDetector,Charbonnier+MS-SSIM,0.8688910603523254,1,3336.30078125,./results/gridsearch16/checkpoints/TransformerAnomalyDetector_CharbonnierandMS-SSIMfp16.pth
TransformerAnomalyDetector,Charbonnier+Gradient,0.4018911123275757,1,3313.1220703125,./results/gridsearch16/checkpoints/TransformerAnomalyDetector_CharbonnierandGradientfp16.pth
VAE,MSE,0.00023768313258187845,32,52.94189453125,./results/gridsearch16/checkpoints/VAE_MSEfp16.pth
VAE,MSE+Gradient,0.0003016235241375398,68,63.20849609375,./results/gridsearch16/checkpoints/VAE_MSEandGradientfp16.pth
VAE,MSE+MS-SSIM,0.0006775597867090255,91,84.67333984375,./results/gridsearch16/checkpoints/VAE_MSEandMS-SSIMfp16.pth
VAE,Charbonnier+MS-SSIM,0.0013448936224449426,61,86.83154296875,./results/gridsearch16/checkpoints/VAE_CharbonnierandMS-SSIMfp16.pth
VAE,Charbonnier+Gradient,0.0006992260969127528,50,68.72412109375,./results/gridsearch16/checkpoints/VAE_CharbonnierandGradientfp16.pth
